store_id,product_id,product_name,category,current_stock,product_company,Expiry_Date,Product_Rate,Total_Rate,threshold_value,City
NYC-001,PROD-0001,Pasta,grocery,161,Kroger,2026-04-04 20:06:59.835396,430.52,69314.36,10,New York
NYC-001,PROD-0002,Dining Table,furniture,160,La-Z-Boy,2035-12-31,589.16,94265.64,22,New York
NYC-001,PROD-0003,Noodles,grocery,78,Kroger,2027-02-13 20:06:59.835817,82.19,6410.73,33,New York
NYC-001,PROD-0004,Game Console,electronics,150,HP,2030-01-01,840.78,126116.95,34,New York
NYC-001,PROD-0005,Camera,electronics,158,LG,2030-01-01,484.06,76482.18,44,New York
NYC-001,PROD-0006,Canned Beans,grocery,148,Safeway,2026-12-08 20:06:59.836280,623.68,92304.05,36,New York
NYC-001,PROD-0007,Desk,furniture,164,Wayfair,2035-12-31,969.64,159020.47,30,New York
NYC-001,PROD-0008,Shorts,clothing,137,Puma,2028-06-30,625.96,85756.69,12,New York
NYC-001,PROD-0009,Chair,furniture,193,IKEA,2035-12-31,253.29,48885.23,49,New York
NYC-001,PROD-0010,Juice,beverages,23,Gatorade,2025-08-21 20:06:59.836566,868.34,19971.91,46,New York
NYC-001,PROD-0011,Iced Tea,beverages,100,Monster,2025-05-26 20:06:59.836682,740.0,74000.13,32,New York
NYC-001,PROD-0012,Milk,beverages,80,Lipton,2026-05-28 20:06:59.836792,11.74,939.23,12,New York
NYC-001,PROD-0013,Yogurt,grocery,186,Albertsons,2026-03-14 20:06:59.836882,829.39,154266.33,40,New York
NYC-001,PROD-0014,Portable Charger,electronics,183,Bose,2030-01-01,411.28,75265.03,19,New York
NYC-001,PROD-0015,Suit,clothing,138,Nike,2028-06-30,372.71,51434.11,24,New York
NYC-001,PROD-0016,Sneakers,clothing,108,Uniqlo,2028-06-30,168.21,18166.94,45,New York
NYC-001,PROD-0017,Bookshelf,furniture,97,Ashley,2035-12-31,249.96,24246.08,35,New York
NYC-001,PROD-0018,Armchair,furniture,198,West Elm,2035-12-31,721.65,142887.35,26,New York
NYC-001,PROD-0019,Tablet,electronics,138,Apple,2030-01-01,625.77,86355.64,22,New York
NYC-001,PROD-0020,Sofa,furniture,163,Crate & Barrel,2035-12-31,922.96,150442.97,19,New York
NYC-001,PROD-0021,Television,electronics,197,Bose,2030-01-01,209.09,41190.05,16,New York
NYC-001,PROD-0022,Jeans,clothing,140,Gap,2028-06-30,193.87,27141.29,34,New York
NYC-001,PROD-0023,Hoodie,clothing,70,Zara,2028-06-30,751.15,52580.2,43,New York
NYC-001,PROD-0024,Lemonade,beverages,145,Nestlé,2025-10-29 20:06:59.837334,790.91,114682.32,25,New York
NYC-001,PROD-0025,Bed,furniture,165,Steelcase,2035-12-31,431.17,71142.88,19,New York
NYC-001,PROD-0026,Cabinet,furniture,64,Crate & Barrel,2035-12-31,208.35,13334.49,15,New York
NYC-001,PROD-0027,Rice,grocery,62,Albertsons,2027-03-11 20:06:59.837590,998.58,61911.97,43,New York
NYC-001,PROD-0028,Table,furniture,87,West Elm,2035-12-31,590.53,51375.89,31,New York
NYC-001,PROD-0029,Smart Speaker,electronics,151,Huawei,2030-01-01,449.45,67866.56,34,New York
NYC-001,PROD-0030,Water,beverages,40,Fanta,2026-03-25 20:06:59.838197,941.45,37658.12,21,New York
NYC-001,PROD-0031,Dress,clothing,53,Adidas,2028-06-30,133.39,7069.57,15,New York
NYC-001,PROD-0032,Tea,beverages,133,Red Bull,2026-11-16 20:06:59.839039,578.64,76959.4,11,New York
NYC-001,PROD-0033,Soda,beverages,143,Fanta,2026-06-16 20:06:59.839268,323.17,46212.79,43,New York
NYC-001,PROD-0034,Sweater,clothing,92,Under Armour,2028-06-30,498.06,45821.95,26,New York
NYC-001,PROD-0035,Headphones,electronics,98,Dell,2030-01-01,972.12,95267.65,18,New York
NYC-001,PROD-0036,Spices,grocery,33,Whole Foods,2026-12-24 20:06:59.839930,354.09,11685.11,17,New York
NYC-001,PROD-0037,Smartphone,electronics,19,Huawei,2030-01-01,477.94,9080.88,35,New York
NYC-001,PROD-0038,Bread,grocery,121,Target,2025-08-01 20:06:59.840742,944.79,114319.89,33,New York
NYC-001,PROD-0039,Energy Drink,beverages,101,Dr Pepper,2027-01-15 20:06:59.840962,201.21,20322.32,33,New York
NYC-001,PROD-0040,Nightstand,furniture,84,Steelcase,2035-12-31,20.7,1738.76,11,New York
NYC-001,PROD-0041,Laptop,electronics,74,Bose,2030-01-01,251.45,18607.13,33,New York
NYC-001,PROD-0042,Vegetables,grocery,33,Target,2025-12-23 20:06:59.841705,281.07,9275.23,46,New York
NYC-001,PROD-0043,Cereal,grocery,139,Kroger,2025-11-24 20:06:59.841920,283.7,39433.75,15,New York
NYC-001,PROD-0044,Coconut Water,beverages,95,Dr Pepper,2026-07-17 20:06:59.842488,444.98,42273.06,30,New York
NYC-001,PROD-0045,Scarf,clothing,90,Gap,2028-06-30,63.98,5757.97,20,New York
NYC-001,PROD-0046,Jacket,clothing,169,Uniqlo,2028-06-30,27.8,4697.98,29,New York
NYC-001,PROD-0047,Coffee,beverages,145,Monster,2025-11-07 20:06:59.843936,649.62,94195.61,41,New York
NYC-001,PROD-0048,T-Shirt,clothing,90,Zara,2028-06-30,32.82,2954.15,11,New York
NYC-001,PROD-0049,Fruits,grocery,76,Kroger,2025-10-18 20:06:59.845437,70.37,5347.88,41,New York
NYC-001,PROD-0050,Smartwatch,electronics,197,HP,2030-01-01,229.21,45155.25,42,New York
